doy,taxon,group,biomass,avg_gald,med_gald,mbfg,diazotrophy,heterocystous,toxin_production,motility,buoyancy,mixotrophy,p_affin,max_growth,edibility
206,Mallomonas,Chrysophyta,0,0,0,2,0,0,0,1,0,1,338,0.505,0.201
206,Merismopedia,Cyanophyta,0.01,0.75,0.5,7,1,0,1,0,1,0,126,1.24,0.435
206,Microcystis,Cyanophyta,57.08,16.875,16.375,7,0,0,1,0,1,0,9.56,0.993,0.225
206,Microcystis_Single,Cyanophyta,0,0,0,1,0,0,1,0,1,0,9.56,0.993,0.225
206,Oocystis,Chlorophyta,0,0,0,7,0,0,0,0,0,0,187,1.55,0.396
206,Pediastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,310,1.28,0.311
206,Planktolyngbya,Cyanophyta,0,0,0,3,0,0,1,0,0,0,353,1.32,0.516
206,Pseudanabaena,Cyanophyta,0.01,1.482142857,1,3,1,0,1,0,1,0,371,1.31,0.502
206,Schroederia,Chlorophyta,0,0,0,1,0,0,0,0,0,0,609,1.6,0.439
206,Snowella,Cyanophyta,0.44,6.625,6.75,7,0,0,1,0,0,0,353,1.32,0.516
206,Staurastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,147,0.837,0.151
206,Stephanodiscus,Bacillariophyta,0.77,14,14,6,0,0,0,0,0,0,13.1,1.82,0.355
206,Trachelomonas,Euglenophyta,0,0,0,5,0,0,0,1,0,1,4630,1.22,0.483
206,Unknown.centric.bacillariophyte,Chlorophyta,0,0,0,4,0,0,0,0,0,0,621,1.62,0.427
206,Unknown.centric.chlorophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,1680,1.52,0.477
206,Unknwon.pennate.bacillariophyte,Bacillariophyta,2.12,60.15,60.15,6,0,0,0,0,0,0,621,1.62,0.427
206,Woronichinia,Cyanophyta,0,0,0,7,0,0,1,0,1,0,353,1.32,0.516
213,Aphanizomenon,Cyanophyta,0,0,0,4,1,1,1,0,1,0,47.7,0.971,0.3
213,Aphanocapsa,Cyanophyta,0,0,0,7,1,0,1,0,0,0,126,1.24,0.435
213,Aphanothece,Cyanophyta,9.769094139,2.875,0.5,7,1,1,0,0,0,0,74.5,0.974,0.279
213,Asterionella,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,105,1.5,0.23
213,Chalmydomonas,Chlorophyta,0,0,0,3,0,0,0,1,0,0,171,1.79,0.622
213,Coelastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,123,1.52,0.325
213,Cosmarium,Chlorophyta,0,0,0,4,0,0,0,0,0,0,72.3,0.946,0.162
213,Cryptomonas,Cryptophyta,0,0,0,5,0,0,0,1,0,1,137,1.23,0.553
213,Desmodesmus,Chlorophyta,0,0,0,4,0,0,0,0,0,0,237,1.77,0.408
213,Dolichospermum,Cyanophyta,0,0,0,3,1,1,1,0,1,0,266,1.1,0.418
213,Elakatothrix,Chlorophyta,0,0,0,1,0,0,0,0,0,0,760,1.36,0.328
213,Eudorina,Chlorophyta,0,0,0,7,0,0,0,1,0,0,32.3,1.1,0.218
213,Euglena,Euglenophyta,0,0,0,5,0,0,0,1,0,1,2670,1.14,0.375
213,Fragilaria,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,98.5,1.37,0.196
213,Komma,Cryptophyta,0,0,0,5,0,0,0,1,0,1,1900,1.58,0.837
213,Mallomonas,Chrysophyta,1.58002367,14.125,14.125,2,0,0,0,1,0,1,338,0.505,0.201
213,Merismopedia,Cyanophyta,0.003366528,0.5,0.5,7,1,0,1,0,1,0,126,1.24,0.435
213,Microcystis,Cyanophyta,315.8591298,9.25,4.375,7,0,0,1,0,1,0,9.56,0.993,0.225
213,Microcystis_Single,Cyanophyta,0,0,0,1,0,0,1,0,1,0,9.56,0.993,0.225
213,Oocystis,Chlorophyta,0,0,0,7,0,0,0,0,0,0,187,1.55,0.396
213,Pediastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,310,1.28,0.311
213,Planktolyngbya,Cyanophyta,0,0,0,3,0,0,1,0,0,0,353,1.32,0.516
213,Pseudanabaena,Cyanophyta,0,0,0,3,1,0,1,0,1,0,371,1.31,0.502
213,Schroederia,Chlorophyta,0,0,0,1,0,0,0,0,0,0,609,1.6,0.439
213,Snowella,Cyanophyta,1.718579244,3.632352941,3,7,0,0,1,0,0,0,353,1.32,0.516
213,Staurastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,147,0.837,0.151
213,Stephanodiscus,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,13.1,1.82,0.355
213,Trachelomonas,Euglenophyta,0,0,0,5,0,0,0,1,0,1,4630,1.22,0.483
213,Unknown.centric.bacillariophyte,Chlorophyta,0,0,0,4,0,0,0,0,0,0,621,1.62,0.427
213,Unknown.centric.chlorophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,1680,1.52,0.477
213,Unknwon.pennate.bacillariophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,621,1.62,0.427
213,Woronichinia,Cyanophyta,0,0,0,7,0,0,1,0,1,0,353,1.32,0.516
